truck,day,id,name,lat,lon,volume
2,1,161,Colegio Joaquina Vedruna,-33.603690,-70.573288,10.800000
2,1,167,Sede Vecinal Villa El Alba,-33.551463,-70.557089,7.032000
2,1,173,Escuela Especial Santa Teresita de los Andes,-33.575761,-70.554138,4.032000
2,1,180,Complejo Educacional Consolidada 3,-33.585110,-70.566361,2.000000
2,1,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588517,-70.558137,4.032000
2,2,28,Conjunto Habitacional Monteverde ,-33.590885,-70.561112,10.800000
2,2,42,Escuela Casas Viejas,-33.607861,-70.527158,4.032000
2,2,119,Consultorio Padre Manuel Villa Seca ,-33.586231,-70.586642,4.032000
2,2,132,Parque San Francisco,-33.582471,-70.568569,20.775000
2,2,152,Sede Social Lomas  Orientes,-33.613080,-70.548002,4.032000
2,2,157,Conjunto Habitacional  Condominio Brisas Del Maipo,-33.605721,-70.541185,5.247000
2,2,188,Sede Social Cerro La Ballena,-33.598528,-70.558849,21.720000
2,3,5,Hospital Psiquiátrico El Peral,-33.579010,-70.551490,10.800000
2,3,34,Conjunto Habitacional Nuevo Siglo Azul ,-33.589998,-70.561579,4.032000
2,3,63,Pueblito de Las Vizcachas,-33.599678,-70.529392,4.032000
2,3,65,Conjunto Habitacional Barrio Ingles Jardines de las Vizcachas,-33.600713,-70.516151,13.800000
2,3,66,Conjunto Habitacional Condominio 3 Jardines Vizcacha,-33.600713,-70.516151,4.032000
2,3,67,Conjunto Habitacional Condominio 4 Jardines Vizcacha,-33.600713,-70.516151,4.032000
2,3,83,Centro Educacional Nueva Creación,-33.589908,-70.547007,4.032000
2,3,91,Escuela Casas Viejas,-33.557010,-70.550213,4.032000
2,3,105,Sede social Marcela Paz ,-33.610730,-70.574023,5.247000
2,3,125,Escuela Nonato Coo,-33.556600,-70.558090,4.032000
2,3,167,Sede Vecinal Villa El Alba,-33.551463,-70.557089,7.032000
2,3,196,Conjunto Habitacional Troncal San Francisco,-33.589252,-70.556828,4.032000
2,3,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588517,-70.558137,4.032000
2,4,28,Conjunto Habitacional Monteverde ,-33.590885,-70.561112,10.800000
2,4,42,Escuela Casas Viejas,-33.607861,-70.527158,4.032000
2,4,119,Consultorio Padre Manuel Villa Seca ,-33.586231,-70.586642,4.032000
2,4,132,Parque San Francisco,-33.582471,-70.568569,20.775000
2,4,152,Sede Social Lomas  Orientes,-33.613080,-70.548002,4.032000
2,4,157,Conjunto Habitacional  Condominio Brisas Del Maipo,-33.605721,-70.541185,5.247000
2,4,188,Sede Social Cerro La Ballena,-33.598528,-70.558849,21.720000
3,0,3,Malla de Plástico Villa La Foresta,-33.589551,-70.581898,3.000000
3,0,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.559094,9.420000
3,0,81,Sede Social Villa Los Productores 1,-33.585340,-70.590088,3.000000
3,0,87,Malla de Plástico Eduardo Cordero Con Santa Elena ,-33.605611,-70.574270,3.000000
3,0,95,Malla de Plástico Villa hermanos La Salle,-33.614871,-70.595762,3.000000
3,0,97,Malla de Plástico Finlandia con Circunvalación,-33.615556,-70.559490,3.000000
3,0,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.586468,4.500000
3,0,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215000
3,0,127,Malla de Plástico Villa Andes del Sur ,-33.565225,-70.579437,3.000000
3,0,148,Malla de Plástico Peñón con Nemesio Vicuña,-33.580096,-70.576554,1.215000
3,0,156,Malla de Plástico Plaza Arquitecto Eugenio Cerda Con Los Molles,-33.587449,-70.583357,1.215000
3,0,159,Sede Social Portal Andino ,-33.590213,-70.566766,1.215000
3,0,163,Malla de Plástico Villa Caleuche,-33.625156,-70.620130,1.215000
3,0,172,Sede Social Villa Los Productores B,-33.586143,-70.593086,3.000000
3,0,195,Malla de Plástico Trasmontes Con Aragonés,-33.600227,-70.549946,1.215000
3,0,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588517,-70.558137,1.215000
3,0,198,Malla de Plástico Valle Del Sol Con Valle Rocío ,-33.557116,-70.559580,3.000000
3,1,3,Malla de Plástico Villa La Foresta,-33.589551,-70.581898,3.000000
3,1,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.559094,9.420000
3,1,81,Sede Social Villa Los Productores 1,-33.585340,-70.590088,3.000000
3,1,87,Malla de Plástico Eduardo Cordero Con Santa Elena ,-33.605611,-70.574270,3.000000
3,1,95,Malla de Plástico Villa hermanos La Salle,-33.614871,-70.595762,3.000000
3,1,97,Malla de Plástico Finlandia con Circunvalación,-33.615556,-70.559490,3.000000
3,1,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.586468,4.500000
3,1,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215000
3,1,127,Malla de Plástico Villa Andes del Sur ,-33.565225,-70.579437,3.000000
3,1,148,Malla de Plástico Peñón con Nemesio Vicuña,-33.580096,-70.576554,1.215000
3,1,156,Malla de Plástico Plaza Arquitecto Eugenio Cerda Con Los Molles,-33.587449,-70.583357,1.215000
3,1,159,Sede Social Portal Andino ,-33.590213,-70.566766,1.215000
3,1,163,Malla de Plástico Villa Caleuche,-33.625156,-70.620130,1.215000
3,1,172,Sede Social Villa Los Productores B,-33.586143,-70.593086,3.000000
3,1,195,Malla de Plástico Trasmontes Con Aragonés,-33.600227,-70.549946,1.215000
3,1,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588517,-70.558137,1.215000
3,1,198,Malla de Plástico Valle Del Sol Con Valle Rocío ,-33.557116,-70.559580,1.215000
3,2,3,Malla de Plástico Villa La Foresta,-33.589551,-70.581898,3.000000
3,2,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.559094,9.420000
3,2,81,Sede Social Villa Los Productores 1,-33.585340,-70.590088,3.000000
3,2,87,Malla de Plástico Eduardo Cordero Con Santa Elena ,-33.605611,-70.574270,3.000000
3,2,95,Malla de Plástico Villa hermanos La Salle,-33.614871,-70.595762,3.000000
3,2,97,Malla de Plástico Finlandia con Circunvalación,-33.615556,-70.559490,3.000000
3,2,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.586468,4.500000
3,2,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215000
3,2,127,Malla de Plástico Villa Andes del Sur ,-33.565225,-70.579437,3.000000
3,2,148,Malla de Plástico Peñón con Nemesio Vicuña,-33.580096,-70.576554,1.215000
3,2,156,Malla de Plástico Plaza Arquitecto Eugenio Cerda Con Los Molles,-33.587449,-70.583357,1.215000
3,2,159,Sede Social Portal Andino ,-33.590213,-70.566766,1.215000
3,2,163,Malla de Plástico Villa Caleuche,-33.625156,-70.620130,1.215000
3,2,172,Sede Social Villa Los Productores B,-33.586143,-70.593086,3.000000
3,2,195,Malla de Plástico Trasmontes Con Aragonés,-33.600227,-70.549946,1.215000
3,2,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588517,-70.558137,1.215000
3,2,198,Malla de Plástico Valle Del Sol Con Valle Rocío ,-33.557116,-70.559580,3.000000
3,4,3,Malla de Plástico Villa La Foresta,-33.589551,-70.581898,3.000000
3,4,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.559094,9.420000
3,4,81,Sede Social Villa Los Productores 1,-33.585340,-70.590088,3.000000
3,4,87,Malla de Plástico Eduardo Cordero Con Santa Elena ,-33.605611,-70.574270,3.000000
3,4,95,Malla de Plástico Villa hermanos La Salle,-33.614871,-70.595762,3.000000
3,4,97,Malla de Plástico Finlandia con Circunvalación,-33.615556,-70.559490,3.000000
3,4,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.586468,4.500000
3,4,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215000
3,4,127,Malla de Plástico Villa Andes del Sur ,-33.565225,-70.579437,3.000000
3,4,148,Malla de Plástico Peñón con Nemesio Vicuña,-33.580096,-70.576554,1.215000
3,4,156,Malla de Plástico Plaza Arquitecto Eugenio Cerda Con Los Molles,-33.587449,-70.583357,1.215000
3,4,159,Sede Social Portal Andino ,-33.590213,-70.566766,1.215000
3,4,163,Malla de Plástico Villa Caleuche,-33.625156,-70.620130,1.215000
3,4,172,Sede Social Villa Los Productores B,-33.586143,-70.593086,3.000000
3,4,195,Malla de Plástico Trasmontes Con Aragonés,-33.600227,-70.549946,1.215000
3,4,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588517,-70.558137,1.215000
3,4,198,Malla de Plástico Valle Del Sol Con Valle Rocío ,-33.557116,-70.559580,1.215000
